Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
566,Justin Rennicks\Justin-Rennicks,us USA,FW,New England,22-219,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
567,Andrés Reyes\Andres-Reyes,co COL,DF,NY Red Bulls,22-047,1999,15,13,1078,12.0,2,1,2,0,0,6,1,0.17,0.08,0.25,0.17,0.25,0.9,0.9,0.2,1.0,0.07,0.01,0.09,0.07,0.09,Matches
568,Yordy Reyna\Yordy-Reyna,pe PER,FWMF,D.C. United,28-038,1993,17,8,911,10.1,4,1,4,0,0,2,0,0.40,0.10,0.49,0.40,0.49,3.3,3.3,0.9,4.2,0.32,0.09,0.41,0.32,0.41,Matches
569,Emanuel Reynoso\Emanuel-Reynoso,ar ARG,MFFW,Minnesota Utd,25-343,1995,26,25,2113,23.5,4,4,4,0,0,6,1,0.17,0.17,0.34,0.17,0.34,4.3,4.3,8.3,12.6,0.18,0.36,0.54,0.18,0.54,Matches
570,Andrés Ricaurte\Andres-Ricaurte,co COL,MF,FC Dallas,30-022,1991,24,9,950,10.6,1,2,1,0,0,5,0,0.09,0.19,0.28,0.09,0.28,1.3,1.3,2.3,3.6,0.13,0.22,0.34,0.13,0.34,Matches
571,Spencer Richey\Spencer-Richey,us USA,GK,Seattle,29-148,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
572,Tosaint Ricketts\Tosaint-Ricketts,ca CAN,FW,Vancouver,34-080,1987,14,0,185,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.15,0.18,0.33,0.15,0.33,Matches
573,Alexander Ring\Alexander-Ring,fi FIN,MF,Austin FC,30-199,1991,28,28,2431,27.0,4,2,4,0,0,7,2,0.15,0.07,0.22,0.15,0.22,3.4,3.4,2.5,5.9,0.12,0.09,0.22,0.12,0.22,Matches
574,Andrés Ríos\Andres-Rios,ar ARG,MFFW,San Jose,32-085,1989,28,6,829,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,2.4,2.4,0.9,3.3,0.26,0.10,0.36,0.26,0.36,Matches
575,Damien Rivera\Damien-Rivera,us USA,MF,New England,18-321,2002,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
576,Nigel Robertha\Nigel-Robertha,nl NED,FWMF,D.C. United,23-254,1998,15,7,761,8.5,4,0,4,0,0,1,0,0.47,0.00,0.47,0.47,0.47,3.7,3.7,0.5,4.2,0.43,0.06,0.49,0.43,0.49,Matches
577,Miles Robinson\Miles-Robinson,us USA,DF,Atlanta Utd,24-225,1997,22,21,1935,21.5,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.5,1.0,0.02,0.02,0.05,0.02,0.05,Matches
578,Robbie Robinson\Robbie-Robinson,us USA,FWMF,Inter Miami,22-312,1998,21,16,1294,14.4,4,0,4,0,0,5,0,0.28,0.00,0.28,0.28,0.28,4.7,4.7,1.1,5.7,0.33,0.07,0.40,0.33,0.40,Matches
579,Tony Rocha\Tony-Rocha,bz BLZ,MFFW,NYCFC,28-065,1993,5,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,2.25,0.10,2.34,2.25,2.34,Matches
580,Brian Rodríguez\Brian-Rodriguez,uy URU,FWMF,Los Angeles FC,21-158,2000,12,10,763,8.5,2,1,2,0,0,0,0,0.24,0.12,0.35,0.24,0.35,2.7,2.7,2.0,4.7,0.32,0.24,0.56,0.32,0.56,Matches
581,Memo Rodriguez\Memo-Rodriguez,us USA,MFFW,Houston Dynamo,25-302,1995,29,16,1396,15.5,2,1,2,0,0,2,0,0.13,0.06,0.19,0.13,0.19,3.3,3.3,2.0,5.2,0.21,0.13,0.34,0.21,0.34,Matches
582,Santiago Rodríguez\Santiago-Rodriguez,uy URU,FWMF,NYCFC,21-290,2000,18,8,751,8.3,3,0,3,0,0,1,0,0.36,0.00,0.36,0.36,0.36,3.6,3.6,1.0,4.6,0.43,0.13,0.55,0.43,0.55,Matches
583,Alex Roldan\Alex-Roldan,sv SLV,DF,Seattle,25-089,1996,26,23,2000,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.4,0.4,2.6,3.0,0.02,0.12,0.13,0.02,0.13,Matches
584,Cristian Roldan\Cristian-Roldan,us USA,MFFW,Seattle,26-144,1995,25,24,2088,23.2,6,5,6,0,0,1,0,0.26,0.22,0.47,0.26,0.47,6.0,6.0,5.5,11.5,0.26,0.24,0.50,0.26,0.50,Matches
585,Jhohan Romaña\Jhohan-Romana,co COL,DF,Austin FC,23-042,1998,24,18,1711,19.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.4,1.9,0.03,0.07,0.10,0.03,0.10,Matches
586,Tomas Romero\Tomas-Romero,sv SLV,GK,Los Angeles FC,20-310,2000,18,18,1620,18.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
587,David Romney\David-Romney,us USA,DF,Nashville,28-135,1993,31,31,2790,31.0,0,2,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,1.3,1.3,0.5,1.8,0.04,0.02,0.06,0.04,0.06,Matches
588,Eloy Room\Eloy-Room,cw CUW,GK,Columbus Crew,32-261,1989,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
589,Joseph Rosales\Joseph-Rosales,hn HON,MFFW,Minnesota Utd,20-353,2000,5,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
590,Andy Rose\Andy-Rose,au AUS,DF,Vancouver,31-254,1990,19,19,1646,18.3,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
591,Oriol Rosell\Oriol-Rosell,es ESP,MF,Orlando City,29-110,1992,13,6,510,5.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
592,Keegan Rosenberry\Keegan-Rosenberry,us USA,DF,Colorado Rapids,27-318,1993,30,30,2666,29.6,2,0,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.1,1.1,0.6,1.7,0.04,0.02,0.06,0.04,0.06,Matches
593,Matheus Rossetto\Matheus-Rossetto,br BRA,MF,Atlanta Utd,25-144,1996,17,11,1043,11.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
594,Diego Rossi\Diego-Rossi,uy URU,FW,Los Angeles FC,23-234,1998,19,18,1653,18.4,6,1,5,1,1,2,0,0.33,0.05,0.38,0.27,0.33,9.1,8.3,1.6,10.0,0.50,0.09,0.58,0.45,0.54,Matches
595,Kelyn Rowe\Kelyn-Rowe,us USA,MFDF,Seattle,29-327,1991,31,21,1966,21.8,1,1,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09,1.7,1.7,2.2,3.9,0.08,0.10,0.18,0.08,0.18,Matches
596,Daniel Royer\Daniel-Royer,at AUT,FWMF,NY Red Bulls,31-156,1990,13,3,464,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,0.5,2.5,0.39,0.10,0.49,0.39,0.49,Matches
597,Ruan\Ruan,br BRA,DF,Orlando City,26-149,1995,21,18,1619,18.0,2,3,2,0,0,1,0,0.11,0.17,0.28,0.11,0.28,1.6,1.6,3.4,5.0,0.09,0.19,0.28,0.09,0.28,Matches
598,Rubio Rubin\Rubio-Rubin,us USA,FW,Real Salt Lake,25-238,1996,30,22,2029,22.5,8,5,8,0,0,0,0,0.35,0.22,0.58,0.35,0.58,9.0,9.0,3.4,12.5,0.40,0.15,0.55,0.40,0.55,Matches
599,Diego Rubio\Diego-Rubio,cl CHI,FW,Colorado Rapids,28-163,1993,23,17,1484,16.5,5,3,5,0,1,6,0,0.30,0.18,0.49,0.30,0.49,5.7,4.9,3.3,8.2,0.35,0.20,0.54,0.30,0.50,Matches
600,Raúl Ruidíaz\Raul-Ruidiaz,pe PER,FW,Seattle,31-092,1990,25,23,2088,23.2,16,0,13,3,4,5,0,0.69,0.00,0.69,0.56,0.56,14.4,11.4,1.8,13.2,0.62,0.08,0.70,0.49,0.57,Matches
601,Pablo Ruíz\Pablo-Ruiz,ar ARG,MF,Real Salt Lake,22-309,1998,26,21,1833,20.4,0,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,1.3,1.3,1.2,2.5,0.06,0.06,0.13,0.06,0.13,Matches
602,Albert Rusnák\Albert-Rusnak,sk SVK,MFFW,Real Salt Lake,27-110,1994,30,30,2683,29.8,7,7,5,2,2,6,0,0.23,0.23,0.47,0.17,0.40,6.1,4.6,6.3,10.9,0.21,0.21,0.42,0.15,0.37,Matches
603,Johnny Russell\Johnny-Russell,sct SCO,FW,Sporting KC,31-200,1990,27,23,1966,21.8,12,6,9,3,3,1,0,0.55,0.27,0.82,0.41,0.69,8.6,6.3,5.3,11.6,0.39,0.24,0.64,0.29,0.53,Matches
604,Shea Salinas\Shea-Salinas,us USA,DFFW,San Jose,35-123,1986,27,14,1395,15.5,0,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,2.5,2.5,1.9,4.3,0.16,0.12,0.28,0.16,0.28,Matches
605,Dániel Sallói\Daniel-Salloi,hu HUN,FW,Sporting KC,25-098,1996,27,24,2236,24.8,16,7,16,0,0,4,0,0.64,0.28,0.93,0.64,0.93,10.3,10.3,4.7,15.0,0.42,0.19,0.60,0.42,0.60,Matches
606,Ilie Sánchez\Ilie-Sanchez,es ESP,DFMF,Sporting KC,30-338,1990,26,24,2208,24.5,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.2,1.1,0.04,0.01,0.04,0.04,0.04,Matches
607,James Sands\James-Sands,us USA,DFMF,NYCFC,21-111,2000,23,23,1987,22.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches
608,Sergio Santos Gomes\Sergio-Santos-Gomes,br BRA,FW,Philadelphia,27-051,1994,25,17,1330,14.8,5,1,5,0,0,5,0,0.34,0.07,0.41,0.34,0.41,6.4,6.4,3.6,10.0,0.44,0.24,0.68,0.44,0.68,Matches
609,Pedro Santos\Pedro-Santos,pt POR,FWDF,Columbus Crew,33-186,1988,29,27,2291,25.5,3,6,1,2,3,5,0,0.12,0.24,0.35,0.04,0.27,4.7,2.5,2.9,5.3,0.19,0.11,0.30,0.10,0.21,Matches
610,C.J. Sapong\CJ-Sapong,us USA,FW,Nashville,32-302,1988,30,24,1975,21.9,10,4,10,0,0,1,0,0.46,0.18,0.64,0.46,0.64,8.7,8.7,3.9,12.6,0.39,0.18,0.57,0.39,0.57,Matches
611,Rodrigo Schlegel\Rodrigo-Schlegel,ar ARG,DF,Orlando City,24-205,1997,22,16,1567,17.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches
612,Szabolcs Schön\Szabolcs-Schon,hu HUN,FW,FC Dallas,21-028,2000,21,8,825,9.2,0,6,0,0,0,4,0,0.00,0.65,0.65,0.00,0.65,2.6,2.6,1.2,3.8,0.28,0.13,0.41,0.28,0.41,Matches
613,Kyle Scott\Kyle-Scott,eng ENG,MF,FC Cincinnati,23-307,1997,3,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.09,0.16,0.07,0.16,Matches
614,Dante Sealy\Dante-Sealy,us USA,FWMF,FC Dallas,18-191,2003,6,0,68,0.8,1,0,1,0,0,0,0,1.32,0.00,1.32,1.32,1.32,0.6,0.6,0.0,0.6,0.75,0.00,0.75,0.75,0.75,Matches
615,Eddie Segura\Eddie-Segura,co COL,DF,Los Angeles FC,24-265,1997,15,14,1284,14.3,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,Matches
616,Chris Seitz\Chris-Seitz,us USA,GK,D.C. United,34-227,1987,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
617,Amar Sejdic\Amar-Sejdic,us USA,MF,Atlanta Utd,24-330,1996,10,5,427,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.01,0.05,0.04,0.05,Matches
618,Amar Sejdic\Amar-Sejdic,us USA,MF,CF Montréal,24-330,1996,7,4,388,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.01,0.10,0.11,0.01,0.11,Matches
619,Boris Sekulić\Boris-Sekulic,sk SVK,DF,Chicago Fire,30-004,1991,26,25,2168,24.1,2,4,2,0,0,3,0,0.08,0.17,0.25,0.08,0.25,0.9,0.9,4.7,5.6,0.04,0.19,0.23,0.04,0.23,Matches
620,Brandon Servania\Brandon-Servania,us USA,MF,FC Dallas,22-227,1999,11,8,683,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.06,0.03,0.09,0.06,0.09,Matches
621,Jacob Shaffelburg\Jacob-Shaffelburg,ca CAN,FWMF,Toronto FC,21-333,1999,18,10,898,10.0,3,3,3,0,0,1,0,0.30,0.30,0.60,0.30,0.60,3.8,3.8,2.8,6.6,0.38,0.28,0.66,0.38,0.66,Matches
622,Ryan Shawcross\Ryan-Shawcross,eng ENG,DF,Inter Miami,34-021,1987,12,9,818,9.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
623,Brek Shea\Brek-Shea,us USA,DFFW,Inter Miami,31-239,1990,27,14,1406,15.6,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,2.3,2.3,0.5,2.8,0.15,0.03,0.18,0.15,0.18,Matches
624,Khiry Shelton\Khiry-Shelton,us USA,FW,Sporting KC,28-121,1993,27,21,1877,20.9,2,2,2,0,0,0,0,0.10,0.10,0.19,0.10,0.19,4.2,4.2,2.8,7.0,0.20,0.13,0.33,0.20,0.33,Matches
625,Andre Shinyashiki\Andre-Shinyashiki,br BRA,FWMF,Colorado Rapids,26-136,1995,29,17,1336,14.8,4,2,4,0,0,3,0,0.27,0.13,0.40,0.27,0.40,5.4,5.4,3.7,9.2,0.37,0.25,0.62,0.37,0.62,Matches
626,Bobby Shuttleworth\Bobby-Shuttleworth,us USA,GK,Chicago Fire,34-165,1987,23,23,2070,23.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
627,Marcelo Silva\Marcelo-Silva,uy URU,DF,Real Salt Lake,32-218,1989,19,19,1618,18.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
628,Luke Singh\Luke-Singh,tt TRI,DF,Toronto FC,21-043,2000,6,5,446,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.8,0.8,0.0,0.8,0.16,0.00,0.16,0.16,0.16,Matches
629,Pablo Sisniega\Pablo-Sisniega,mx MEX,GK,Los Angeles FC,26-110,1995,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
630,Jack Skahan\Jack-Skahan,us USA,MF,San Jose,23-260,1998,8,1,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.09,0.12,0.20,0.09,0.20,Matches
631,Drew Skundrich\Drew-Skundrich,us USA,MFFW,D.C. United,26-038,1995,17,9,924,10.3,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,1.3,1.3,0.6,1.8,0.12,0.06,0.18,0.12,0.18,Matches
632,Gabriel Slonina\Gabriel-Slonina,us USA,GK,Chicago Fire,17-163,2004,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
633,Brad Smith\Brad-Smith,au AUS,DF,Seattle,27-199,1994,24,17,1438,16.0,3,4,3,0,0,1,0,0.19,0.25,0.44,0.19,0.44,2.0,2.0,2.0,4.0,0.13,0.12,0.25,0.13,0.25,Matches
634,Kimarni Smith\Kimarni-Smith,eng ENG,FW,D.C. United,23-225,1998,3,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches
635,Kyle Smith\Kyle-Smith,us USA,DF,Orlando City,29-289,1992,24,20,1716,19.1,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.8,1.7,0.05,0.04,0.09,0.05,0.09,Matches
636,Erik Sorga\Erik-Sorga,ee EST,FW,D.C. United,22-109,1999,4,3,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.14,0.05,0.19,0.14,0.19,Matches
637,Santiago Sosa\Santiago-Sosa,ar ARG,MFDF,Atlanta Utd,22-175,1999,25,25,2196,24.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.3,2.0,0.03,0.05,0.08,0.03,0.08,Matches
638,Yeferson Soteldo\Yeferson-Soteldo,ve VEN,FW,Toronto FC,24-117,1997,24,19,1737,19.3,3,6,3,0,2,5,0,0.16,0.31,0.47,0.16,0.47,5.9,4.4,4.2,8.6,0.31,0.22,0.53,0.23,0.45,Matches
639,Omar Sowe\Omar-Sowe,gm GAM,FW,NY Red Bulls,20-362,2000,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
640,Dayne St. Clair\Dayne-St-Clair,ca CAN,GK,Minnesota Utd,24-169,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
641,Mason Stajduhar\Mason-Stajduhar,us USA,GK,Orlando City,23-327,1997,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
642,Caleb Stanko\Caleb-Stanko,us USA,MFDF,FC Cincinnati,28-091,1993,17,9,910,10.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
643,Aedan Stanley\Aedan-Stanley,us USA,DF,Austin FC,21-316,1999,8,2,229,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
644,Daniel Steres\Daniel-Steres,us USA,DF,LA Galaxy,30-348,1990,17,13,1134,12.6,0,2,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,1.3,1.3,0.7,2.0,0.10,0.05,0.16,0.10,0.16,Matches
645,Luka Stojanović\Luka-Stojanovic,rs SRB,MF,Chicago Fire,27-294,1994,26,15,1333,14.8,8,1,8,0,0,3,0,0.54,0.07,0.61,0.54,0.61,5.5,5.5,1.8,7.3,0.37,0.12,0.50,0.37,0.50,Matches
646,Jared Stroud\Jared-Stroud,us USA,FWMF,Austin FC,25-107,1996,20,11,1007,11.2,0,3,0,0,0,5,0,0.00,0.27,0.27,0.00,0.27,1.9,1.9,2.3,4.2,0.17,0.20,0.38,0.17,0.38,Matches
647,Aljaž Struna\Aljaz-Struna,si SVN,DF,CF Montréal,31-082,1990,18,16,1433,15.9,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03,Matches
648,Brad Stuver\Brad-Stuver,us USA,GK,Austin FC,30-192,1991,30,30,2700,30.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
649,Quinn Sullivan\Quinn-Sullivan,us USA,FWMF,Philadelphia,17-212,2004,20,4,537,6.0,2,2,2,0,0,1,0,0.34,0.34,0.67,0.34,0.67,1.2,1.2,0.8,2.0,0.21,0.13,0.34,0.21,0.34,Matches
650,Hunter Sulte\Hunter-Sulte,us USA,GK,Portland Timbers,19-183,2002,2,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
651,Ben Sweat\Ben-Sweat,us USA,DF,Austin FC,30-051,1991,2,2,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
652,Ballou Tabla\Ballou-Tabla,ca CAN,DFMF,CF Montréal,22-208,1999,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.56,0.37,0.93,0.56,0.93,Matches
653,Ismael Tajouri-Shradi\Ismael-Tajouri-Shradi,ly LBY,FWMF,NYCFC,27-211,1994,23,14,1230,13.7,7,0,7,0,0,2,0,0.51,0.00,0.51,0.51,0.51,4.8,4.8,2.3,7.1,0.35,0.17,0.52,0.35,0.52,Matches
654,Andrew Tarbell\Andrew-Tarbell,us USA,GK,Austin FC,28-018,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
655,Amro Tarek\Amro-Tarek,eg EGY,DF,NY Red Bulls,29-161,1992,13,10,864,9.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.04,0.01,0.06,0.04,0.06,Matches
656,D.J. Taylor\DJ-Taylor,us USA,DF,Minnesota Utd,24-060,1997,8,6,624,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.01,0.05,0.06,0.01,0.06,Matches
657,Russell Teibert\Russell-Teibert,ca CAN,MF,Vancouver,28-307,1992,30,26,2144,23.8,1,2,1,0,0,0,0,0.04,0.08,0.13,0.04,0.13,0.3,0.3,2.0,2.4,0.01,0.09,0.10,0.01,0.10,Matches
658,Carlos Terán\Carlos-Teran,co COL,DF,Chicago Fire,21-031,2000,12,10,897,10.0,1,0,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,0.4,0.4,1.1,1.4,0.04,0.11,0.14,0.04,0.14,Matches
659,Tanner Tessmann\Tanner-Tessmann,us USA,MF,FC Dallas,20-031,2001,7,6,449,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.03,0.06,0.09,0.03,0.09,Matches
660,Thiago\Thiago,br BRA,FW,NYCFC,20-359,2000,20,8,909,10.1,4,1,4,0,0,3,1,0.40,0.10,0.50,0.40,0.50,2.5,2.5,0.9,3.4,0.25,0.09,0.34,0.25,0.34,Matches
661,Tommy Thompson\Tommy-Thompson,us USA,DF,San Jose,26-071,1995,13,11,698,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.1,1.1,0.00,0.14,0.14,0.00,0.14,Matches
662,Anton Tinnerholm\Anton-Tinnerholm,se SWE,DF,NYCFC,30-241,1991,25,23,2009,22.3,0,3,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,2.9,3.9,0.05,0.13,0.17,0.05,0.17,Matches
663,Donny Toia\Donny-Toia,us USA,DF,Real Salt Lake,29-150,1992,19,15,1321,14.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,0.9,0.05,0.02,0.06,0.05,0.06,Matches
664,John Tolkin\John-Tolkin,us USA,DFMF,NY Red Bulls,19-086,2002,26,20,1846,20.5,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,1.7,2.6,0.04,0.08,0.13,0.04,0.13,Matches
665,Nouhou Tolo\Nouhou-Tolo,cm CMR,DF,Seattle,24-124,1997,16,13,1236,13.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
666,Erick Torres\Erick-Torres,mx MEX,FW,Atlanta Utd,28-279,1993,18,7,616,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.4,1.6,0.18,0.05,0.23,0.18,0.23,Matches
667,Joaquín Torres\Joaquin-Torres,ar ARG,FWMF,CF Montréal,24-270,1997,25,19,1625,18.1,4,5,4,0,0,0,0,0.22,0.28,0.50,0.22,0.50,3.1,3.1,3.2,6.3,0.17,0.18,0.35,0.17,0.35,Matches
668,Dantouma Toure\Dantouma-Toure,gn GUI,FW,Colorado Rapids,17-135,2004,1,0,4,0.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
669,Mason Toye\Mason-Toye,us USA,FW,CF Montréal,23-009,1998,14,10,889,9.9,7,0,5,2,2,1,0,0.71,0.00,0.71,0.51,0.51,6.1,4.6,1.2,5.7,0.61,0.12,0.73,0.46,0.58,Matches
670,Wil Trapp\Wil-Trapp,us USA,MF,Minnesota Utd,28-283,1993,28,28,2478,27.5,1,1,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,0.5,0.5,1.5,1.9,0.02,0.05,0.07,0.02,0.07,Matches
671,Auston Trusty\Auston-Trusty,us USA,DF,Colorado Rapids,23-074,1998,30,30,2700,30.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.8,2.0,0.04,0.03,0.07,0.04,0.07,Matches
672,Bill Tuiloma\Bill-Tuiloma,nz NZL,DF,Portland Timbers,26-212,1995,25,17,1628,18.1,1,1,1,0,0,4,1,0.06,0.06,0.11,0.06,0.11,1.2,1.2,0.1,1.3,0.07,0.01,0.07,0.07,0.07,Matches
673,Cole Turner\Cole-Turner,us USA,DF,Philadelphia,20-110,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
