Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
506,Noble Okello\Noble-Okello,ca CAN,MFFW,Toronto FC,21-097,2000,11,8,627,7.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,Matches
507,Wyatt Omsberg\Wyatt-Omsberg,us USA,DF,Chicago Fire,26-034,1995,17,9,744,8.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.05,0.06,0.11,0.05,0.11,Matches
508,Kwadwo Opoku\Kwadwo-Opoku,gh GHA,FW,Los Angeles FC,20-104,2001,4,2,250,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,1.0,1.2,0.09,0.36,0.45,0.09,0.45,Matches
509,Arquimides Ordonez\Arquimides-Ordonez,us USA,FWDF,FC Cincinnati,18-081,2003,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.39,0.39,0.00,0.39,Matches
510,Jonathan Osorio\Jonathan-Osorio,ca CAN,MFFW,Toronto FC,29-135,1992,22,17,1496,16.6,4,1,4,0,0,2,0,0.24,0.06,0.30,0.24,0.30,4.2,4.2,2.2,6.4,0.25,0.13,0.38,0.25,0.38,Matches
511,Leonard Owusu\Leonard-Owusu,gh GHA,MF,Vancouver,24-144,1997,21,11,822,9.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
512,Diego Palacios\Diego-Palacios,ec ECU,DF,Los Angeles FC,22-105,1999,24,16,1487,16.5,0,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,2.0,2.4,0.03,0.12,0.15,0.03,0.15,Matches
513,James Pantemis\James-Pantemis,ca CAN,GK,CF Montréal,24-246,1997,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
514,Cristhian Paredes\Cristhian-Paredes,py PAR,MF,Portland Timbers,23-160,1998,17,10,957,10.6,2,1,2,0,0,5,0,0.19,0.09,0.28,0.19,0.28,1.1,1.1,0.6,1.7,0.10,0.05,0.16,0.10,0.16,Matches
515,Kevin Paredes\Kevin-Paredes,us USA,DFFW,D.C. United,18-171,2003,23,18,1506,16.7,2,1,2,0,0,4,0,0.12,0.06,0.18,0.12,0.18,1.7,1.7,1.6,3.3,0.10,0.09,0.20,0.10,0.20,Matches
516,Isaiah Parente\Isaiah-Parente,us USA,MFFW,Columbus Crew,21-223,2000,6,2,213,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
517,Tim Parker\Tim-Parker,us USA,DF,Houston Dynamo,28-244,1993,32,32,2880,32.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.4,1.5,0.03,0.01,0.05,0.03,0.05,Matches
518,Keaton Parks\Keaton-Parks,us USA,MF,NYCFC,24-080,1997,29,26,2274,25.3,4,0,4,0,0,3,2,0.16,0.00,0.16,0.16,0.16,1.9,1.9,2.6,4.5,0.08,0.10,0.18,0.08,0.18,Matches
519,Tyler Pasher\Tyler-Pasher,ca CAN,FW,Houston Dynamo,27-181,1994,17,9,791,8.8,4,2,4,0,0,0,0,0.46,0.23,0.68,0.46,0.68,1.7,1.7,2.2,4.0,0.20,0.25,0.45,0.20,0.45,Matches
520,Alexandre Pato\Alexandre-Pato,br BRA,FWMF,Orlando City,32-053,1989,2,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.43,0.00,0.43,0.43,0.43,Matches
521,João Paulo Mior\Joao-Paulo-Mior,br BRA,MF,Seattle,30-231,1991,30,27,2446,27.2,3,8,3,0,0,7,0,0.11,0.29,0.40,0.11,0.40,1.7,1.7,5.0,6.8,0.06,0.18,0.25,0.06,0.25,Matches
522,Jason Pendant\Jason-Pendant,fr FRA,DF,NY Red Bulls,24-258,1997,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
